PokemonID;Name;NickName;CP / MaxCP;IV Perfection in %;Attack 1;Attack 2;HP;Attk;Def;Stamina;Familie Candies;IsInGym;IsFavorite;previewLink
116;Horsea;Horsea_88;242/249;"88,00";BubbleFast;DragonPulse;33;15;8;15;18;;No;http://poke.isitin.org/#MTE2LDI1LDExLDI0MiwzMw==
96;Drowzee;Drowzee_88;389/399;"88,00";PoundFast;Psychic;62;15;14;9;151;;No;http://poke.isitin.org/#OTYsMjUsMTMsMzg5LDYy
96;Drowzee;Drowzee_88;478/491;"88,00";ConfusionFast;Psychic;68;15;15;8;151;;No;http://poke.isitin.org/#OTYsMjUsMTYsNDc4LDY4
98;Krabby;Krabby_88;373/384;"88,00";MudShotFast;BubbleBeam;40;13;13;14;26;;No;http://poke.isitin.org/#OTgsMjUsMTcsMzczLDQw
41;Zubat;Zubat_88;64/67;"88,00";QuickAttackFast;AirCutter;24;12;15;14;96;;No;http://poke.isitin.org/#NDEsMjUsNCw2NCwyNA==
60;Poliwag;Poliwag_88;331/341;"88,00";MudShotFast;BubbleBeam;49;13;12;15;572;;No;http://poke.isitin.org/#NjAsMjUsMTUsMzMxLDQ5
133;Eevee;Eevee_88;204/210;"88,00";QuickAttackFast;Dig;42;15;12;11;179;;No;http://poke.isitin.org/#MTMzLDI1LDcsMjA0LDQy
129;Magikarp;Magikarp_86;105/112;"86,00";SplashFast;Struggle;27;15;7;13;919;;No;http://poke.isitin.org/#MTI5LDI1LDE1LDEwNSwyNw==
120;Staryu;Staryu_86;310/321;"86,00";WaterGunFast;PowerGem;34;10;15;15;145;;No;http://poke.isitin.org/#MTIwLDI1LDEyLDMxMCwzNA==
25;Pikachu;Pikachu_85;489/507;"85,00";ThunderShockFast;Thunderbolt;48;13;14;12;19;;No;http://poke.isitin.org/#MjUsMjUsMjAsNDg5LDQ4
129;Magikarp;Magikarp_85;119/127;"85,00";SplashFast;Struggle;29;13;13;13;919;;No;http://poke.isitin.org/#MTI5LDI1LDE3LDExOSwyOQ==
133;Eevee;Eevee_85;327/338;"85,00";TackleFast;Dig;54;15;8;13;179;;No;http://poke.isitin.org/#MTMzLDI1LDExLDMyNyw1NA==
133;Eevee;Eevee_85;416/430;"85,00";TackleFast;Dig;62;14;8;15;179;;No;http://poke.isitin.org/#MTMzLDI1LDE0LDQxNiw2Mg==
46;Paras;Paras_84;92/95;"84,00";ScratchFast;CrossPoison;20;14;15;10;85;;No;http://poke.isitin.org/#NDYsMjUsNCw5MiwyMA==
46;Paras;Paras_84;39/40;"84,00";BugBiteFast;XScissor;13;14;8;14;85;;No;http://poke.isitin.org/#NDYsMjUsMiwzOSwxMw==
60;Poliwag;Poliwag_84;436/454;"84,00";BubbleFast;BodySlam;55;13;12;13;572;;No;http://poke.isitin.org/#NjAsMjUsMjAsNDM2LDU1
138;Omanyte;Omanyte_84;339/352;"84,00";MudShotFast;Brine;37;15;3;15;7;;No;http://poke.isitin.org/#MTM4LDI1LDExLDMzOSwzNw==
48;Venonat;Venonat_84;454/470;"84,00";ConfusionFast;PoisonFang;72;13;10;15;87;;No;http://poke.isitin.org/#NDgsMjUsMTYsNDU0LDcy
129;Magikarp;Magikarp_84;125/135;"84,00";SplashFast;Struggle;31;14;5;15;919;;No;http://poke.isitin.org/#MTI5LDI1LDE4LDEyNSwzMQ==
96;Drowzee;Drowzee_84;652/675;"84,00";ConfusionFast;Psyshock;83;14;8;14;151;;No;http://poke.isitin.org/#OTYsMjUsMjIsNjUyLDgz
133;Eevee;Eevee_84;593/615;"84,00";QuickAttackFast;Swift;70;15;13;8;179;;No;http://poke.isitin.org/#MTMzLDI1LDIwLDU5Myw3MA==
96;Drowzee;Drowzee_84;14/15;"84,00";ConfusionFast;Psyshock;12;15;10;10;151;;No;http://poke.isitin.org/#OTYsMjUsMSwxNCwxMg==
116;Horsea;Horsea_84;369/385;"84,00";WaterGunFast;FlashCannon;38;15;13;10;18;;No;http://poke.isitin.org/#MTE2LDI1LDE3LDM2OSwzOA==
133;Eevee;Eevee_84;416/430;"84,00";TackleFast;Swift;60;15;10;11;179;;No;http://poke.isitin.org/#MTMzLDI1LDE0LDQxNiw2MA==
133;Eevee;Eevee_84;564/584;"84,00";QuickAttackFast;Swift;69;15;11;10;179;;No;http://poke.isitin.org/#MTMzLDI1LDE5LDU2NCw2OQ==
46;Paras;Paras_83;171/178;"83,00";ScratchFast;SeedBomb;29;14;6;15;85;;No;http://poke.isitin.org/#NDYsMjUsNywxNzEsMjk=
48;Venonat;Venonat_83;537/558;"83,00";BugBiteFast;PoisonFang;77;13;11;13;87;;No;http://poke.isitin.org/#NDgsMjUsMTksNTM3LDc3
48;Venonat;Venonat_83;14/14;"83,00";BugBiteFast;PoisonFang;12;14;10;12;87;;No;http://poke.isitin.org/#NDgsMjUsMSwxNCwxMg==
129;Magikarp;Magikarp_82;159/172;"82,00";SplashFast;Struggle;35;12;10;15;919;;No;http://poke.isitin.org/#MTI5LDI1LDIzLDE1OSwzNQ==
129;Magikarp;Magikarp_82;138/150;"82,00";SplashFast;Struggle;30;13;14;11;919;;No;http://poke.isitin.org/#MTI5LDI1LDIwLDEzOCwzMA==
